timestamp,symbol,action,price,reason,rsi,strategy
2026-02-23 12:57:20.202214+00,SPY,BUY,0,Paper: Score-weighted consensus for SPY: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:57:22.223632+00,QQQ,BUY,0,Paper: Score-weighted consensus for QQQ: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:57:24.24462+00,IWM,BUY,0,Paper: Score-weighted consensus for IWM: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:57:26.263782+00,AAPL,BUY,0,Paper: Score-weighted consensus for AAPL: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:28.290597+00,MSFT,BUY,0,Paper: Score-weighted consensus for MSFT: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:30.308599+00,NVDA,BUY,0,Paper: Score-weighted consensus for NVDA: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:32.330987+00,AMZN,BUY,0,Paper: Score-weighted consensus for AMZN: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:34.351747+00,META,BUY,0,Paper: Score-weighted consensus for META: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:36.370958+00,GOOGL,BUY,0,Paper: Score-weighted consensus for GOOGL: tech=1,0,Kalshi_REST_v2
2026-02-23 12:57:38.400067+00,TSLA,BUY,0,Paper: Score-weighted consensus for TSLA: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:40.413961+00,AMD,BUY,0,Paper: Score-weighted consensus for AMD: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:57:42.433525+00,SMCI,BUY,0,Paper: Score-weighted consensus for SMCI: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:44.452169+00,PLTR,BUY,0,Paper: Score-weighted consensus for PLTR: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:46.469909+00,AVGO,BUY,0,Paper: Score-weighted consensus for AVGO: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:48.489569+00,COIN,BUY,0,Paper: Score-weighted consensus for COIN: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:50.50872+00,MSTR,BUY,0,Paper: Score-weighted consensus for MSTR: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:52.529536+00,MARA,BUY,0,Paper: Score-weighted consensus for MARA: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:57:54.565527+00,JPM,BUY,0,Paper: Score-weighted consensus for JPM: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:57:56.578163+00,BAC,BUY,0,Paper: Score-weighted consensus for BAC: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:57:58.59417+00,GS,BUY,0,"Paper: Score-weighted consensus for GS: tech=1.0,",0,Kalshi_REST_v2
2026-02-23 12:58:00.618006+00,DIS,BUY,0,Paper: Score-weighted consensus for DIS: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:58:02.639598+00,NFLX,BUY,0,Paper: Score-weighted consensus for NFLX: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:58:04.656261+00,UBER,BUY,0,Paper: Score-weighted consensus for UBER: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:58:06.679166+00,BTC,BUY,0,Paper: Score-weighted consensus for BTC: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:58:08.69766+00,ETH,BUY,0,Paper: Score-weighted consensus for ETH: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:58:10.714429+00,SOL,BUY,0,Paper: Score-weighted consensus for SOL: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:58:12.735262+00,DOGE,BUY,0,Paper: Score-weighted consensus for DOGE: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:58:14.754245+00,ADA,BUY,0,Paper: Score-weighted consensus for ADA: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:58:16.775085+00,AVAX,BUY,0,Paper: Score-weighted consensus for AVAX: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:58:18.794093+00,LINK,BUY,0,Paper: Score-weighted consensus for LINK: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:59:13.260861+00,SPY,BUY,0,Paper: Score-weighted consensus for SPY: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:59:15.300317+00,QQQ,BUY,0,Paper: Score-weighted consensus for QQQ: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:59:17.316646+00,IWM,BUY,0,Paper: Score-weighted consensus for IWM: tech=1.0,0,Kalshi_REST_v2
2026-02-23 12:59:19.374207+00,AAPL,BUY,0,Paper: Score-weighted consensus for AAPL: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:59:21.406137+00,MSFT,BUY,0,Paper: Score-weighted consensus for MSFT: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:59:23.452898+00,NVDA,BUY,0,Paper: Score-weighted consensus for NVDA: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:59:25.467901+00,AMZN,BUY,0,Paper: Score-weighted consensus for AMZN: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:59:27.4956+00,META,BUY,0,Paper: Score-weighted consensus for META: tech=1.,0,Kalshi_REST_v2
2026-02-23 12:59:29.518215+00,GOOGL,BUY,0,Paper: Score-weighted consensus for GOOGL: tech=1,0,Kalshi_REST_v2
